"Language","english","russian","Portuguese",
"c_welcome","Welcome,","Добро пожаловать,","Bem-Vindo(A)",
"c_play","PLAY","ИГРАТЬ","Jogar",
"c_distance","Distance traveled by foot","Пройдено пешком","Distância percorrida a pé",
"c_maxdist","Best long range hit of a survivor","Макс. дист. выстр.","Tiro mais longo",
"c_modded","Menu created by includelow","Меню создал includelow","Menu criado por includelow",
"c_home","HOME","ГЛАВНАЯ","MENU",
"c_character","CHARACTER","ПЕРСОНАЖ","PERSONAGEM",
"c_settings","SETTINGS","НАСТРОЙКИ","CONFIGURAÇÕES",
"c_exit","EXIT","ВЫЙТИ","SAIR",

